file name,start offset,end offset,dish name
./Debugging_stage/Set_P/review-030.txt,879,910,crispy rock shrimp
./Debugging_stage/Set_P/review-030.txt,957,992,fried shishito peppers
./Debugging_stage/Set_P/review-030.txt,1112,1139,croque señora
./Debugging_stage/Set_P/review-030.txt,1308,1328,ceviche
./Debugging_stage/Set_P/review-030.txt,1582,1607,"mango-
 cake"
./Debugging_stage/Set_P/review-031.txt,426,448,schnitzel
./Debugging_stage/Set_P/review-031.txt,1061,1082,spaetzle
./Debugging_stage/Set_P/review-031.txt,1156,1182,stack of ribs
./Debugging_stage/Set_P/review-031.txt,1294,1320,Freekeh salad
./Debugging_stage/Set_P/review-032.txt,62,86,Cold cheese
./Debugging_stage/Set_P/review-032.txt,681,703,foie gras
./Debugging_stage/Set_P/review-032.txt,832,859,shrimp tempura
./Debugging_stage/Set_P/review-032.txt,1587,1612,hamachi jaws
./Debugging_stage/Set_P/review-032.txt,1723,1743,Sashimi
./Debugging_stage/Set_P/review-032.txt,1748,1766,sushi
./Debugging_stage/Set_P/review-032.txt,2122,2151,sea-urchin chips
./Debugging_stage/Set_P/review-033.txt,165,191,arugula salad
./Debugging_stage/Set_P/review-033.txt,207,227,fusilli
./Debugging_stage/Set_P/review-033.txt,480,513,stracciatella cheese
./Debugging_stage/Set_P/review-033.txt,532,550,speck
./Debugging_stage/Set_P/review-033.txt,563,586,moscardini
./Debugging_stage/Set_P/review-033.txt,643,662,Tiella
./Debugging_stage/Set_P/review-033.txt,1153,1176,flat pasta
./Debugging_stage/Set_P/review-033.txt,1262,1292,salumi and cheese
./Debugging_stage/Set_P/review-033.txt,1391,1433,Chickpea fritters with cheese
./Debugging_stage/Set_P/review-033.txt,1689,1712,lamb chops
./Debugging_stage/Set_P/review-033.txt,1790,1808,salad
./Debugging_stage/Set_P/review-033.txt,1977,2000,sformatino
./Debugging_stage/Set_P/review-033.txt,2059,2091,Mediterranean orata
./Debugging_stage/Set_P/review-033.txt,2288,2334,simple pasta with sautéed shrimp
./Debugging_stage/Set_P/review-033.txt,2370,2432,"whole-wheat spaghetti, speck and wilted radicchio"
./Debugging_stage/Set_P/review-033.txt,2740,2765,ricotta cake
./Debugging_stage/Set_P/review-033.txt,2769,2790,tiramisu
./Debugging_stage/Set_P/review-034.txt,496,525,lime paneer roll
./Debugging_stage/Set_P/review-034.txt,1156,1178,behl pori
./Debugging_stage/Set_P/review-034.txt,1377,1399,Jaal mori
./Debugging_stage/Set_P/review-034.txt,1799,1824,chicken roll
./Debugging_stage/Set_P/review-035.txt,452,478,fried chicken
./Debugging_stage/Set_P/review-035.txt,530,558,pimiento cheese
./Debugging_stage/Set_P/review-035.txt,595,624,banana cream pie
./Debugging_stage/Set_P/review-035.txt,641,666,French fries
./Debugging_stage/Set_P/review-035.txt,679,725,"craggy, tangy buttermilk biscuits"
./Debugging_stage/Set_P/review-035.txt,732,752,Chicken
./Debugging_stage/Set_P/review-035.txt,872,900,mahogany chunks
./Debugging_stage/Set_P/review-035.txt,1002,1028,fried-chicken
./Debugging_stage/Set_P/review-035.txt,1543,1565,Chickwich
./Debugging_stage/Set_P/review-035.txt,1777,1805,mashed potatoes
./Debugging_stage/Set_P/review-035.txt,1839,1868,bland corn salad
./Debugging_stage/Set_P/review-035.txt,1874,1905,carrot-raisin slaw
./Debugging_stage/Set_P/review-035.txt,2059,2085,club sandwich
./Debugging_stage/Set_P/review-035.txt,2161,2193,fried chicken salad
./Debugging_stage/Set_P/review-036.txt,1665,1690,Greek burger
./Debugging_stage/Set_P/review-036.txt,1754,1778,veggie pita
./Debugging_stage/Set_P/review-036.txt,1843,1867,Greek fries
./Debugging_stage/Set_P/review-036.txt,1906,1926,pikilia
./Debugging_stage/Set_P/review-036.txt,1983,2008,taramosalata
./Debugging_stage/Set_P/review-036.txt,2010,2031,fish roe
./Debugging_stage/Set_P/review-036.txt,2080,2098,smoky
./Debugging_stage/Set_P/review-036.txt,2116,2152,roasted eggplant purée
./Debugging_stage/Set_P/review-037.txt,426,447,baguette
./Debugging_stage/Set_P/review-037.txt,610,636,sunflower-rye
./Debugging_stage/Set_P/review-037.txt,1177,1196,salami
./Debugging_stage/Set_P/review-037.txt,1258,1277,Athena
./Debugging_stage/Set_P/review-037.txt,1612,1643,almond-pear danish
./Debugging_stage/Set_P/review-037.txt,1901,1921,peaches
./Debugging_stage/Set_P/review-037.txt,1926,1950,raspberries
./Debugging_stage/Set_P/review-037.txt,1974,2003,Brie and lardons
./Debugging_stage/Set_P/review-037.txt,2014,2037,croissants
./Debugging_stage/Set_P/review-038.txt,503,537,chive-strewn potatoes
./Debugging_stage/Set_P/review-038.txt,544,566,cucumbers
./Debugging_stage/Set_P/review-038.txt,609,638,shredded cabbage
./Debugging_stage/Set_P/review-038.txt,879,935,rabbit and truffled yam open-faced sandwich
./Debugging_stage/Set_P/review-038.txt,1026,1050,tart apples
./Debugging_stage/Set_P/review-038.txt,1130,1160,chilled crab meat
./Debugging_stage/Set_P/review-038.txt,1243,1264,crostini
./Debugging_stage/Set_P/review-038.txt,1293,1323,fat smoked sprats
./Debugging_stage/Set_P/review-038.txt,1328,1358,boiled quail eggs
./Debugging_stage/Set_P/review-038.txt,1681,1708,chocolate bark
./Debugging_stage/Set_P/review-038.txt,1712,1741,sweet potato pie
./Debugging_stage/Set_P/review-039.txt,1087,1119,mozzarella sandwich
./Debugging_stage/Set_P/review-039.txt,1126,1153,English muffin
./Debugging_stage/Set_P/review-039.txt,1403,1422,kimchi
./Debugging_stage/Set_P/review-039.txt,1426,1448,fried egg
./Debugging_stage/Set_P/review-039.txt,1453,1494,crunchy chunks of pork belly
./Debugging_stage/Set_P/review-039.txt,1591,1617,Earl’s Eggo
./Debugging_stage/Set_P/review-039.txt,1770,1806,chewy Korean rice cakes
./Debugging_stage/Set_P/review-039.txt,1817,1843,Asian gnocchi
./Debugging_stage/Set_P/review-040.txt,812,838,fried oysters
./Debugging_stage/Set_P/review-040.txt,876,899,lamb chops
./Debugging_stage/Set_P/review-040.txt,1062,1096,Tennessee country ham
./Debugging_stage/Set_P/review-040.txt,1680,1703,short ribs
./Debugging_stage/Set_P/review-040.txt,1711,1730,shrimp
./Debugging_stage/Set_P/review-040.txt,1764,1791,fried potatoes
./Debugging_stage/Set_P/review-040.txt,1849,1878,brussels sprouts
./Debugging_stage/Set_P/review-041.txt,197,217,popcorn
./Debugging_stage/Set_P/review-041.txt,768,799,Spread Eagle plate
./Debugging_stage/Set_P/review-041.txt,815,841,fried chicken
./Debugging_stage/Set_P/review-041.txt,843,871,mashed potatoes
./Debugging_stage/Set_P/review-041.txt,876,893,cake
./Debugging_stage/Set_P/review-041.txt,1005,1026,crickets
