file name,start offset,end offset,negative sample
datasets/Set_I_DEV/review-001.txt,803,813,of Port of
datasets/Set_I_DEV/review-001.txt,233,236,of 
datasets/Set_I_DEV/review-001.txt,806,813,Port of
datasets/Set_I_DEV/review-001.txt,694,713,shark in particular
datasets/Set_I_DEV/review-001.txt,472,478,shark 
datasets/Set_I_DEV/review-001.txt,700,713,in particular
datasets/Set_I_DEV/review-001.txt,949,970,liberally doused with
datasets/Set_I_DEV/review-001.txt,949,959,liberally 
datasets/Set_I_DEV/review-001.txt,959,970,doused with
datasets/Set_I_DEV/review-001.txt,251,262,with just a
datasets/Set_I_DEV/review-001.txt,161,166,with 
datasets/Set_I_DEV/review-001.txt,256,262,just a
datasets/Set_I_DEV/review-001.txt,107,135,Caribbean takeout restaurant
datasets/Set_I_DEV/review-001.txt,107,117,Caribbean 
datasets/Set_I_DEV/review-001.txt,117,135,takeout restaurant
datasets/Set_I_DEV/review-001.txt,886,900,street food of
datasets/Set_I_DEV/review-001.txt,886,893,street 
datasets/Set_I_DEV/review-001.txt,893,900,food of
datasets/Set_I_DEV/review-001.txt,783,802,Maracas Bay outside
datasets/Set_I_DEV/review-001.txt,783,791,Maracas 
datasets/Set_I_DEV/review-001.txt,791,802,Bay outside
datasets/Set_I_DEV/review-001.txt,186,204,neat and welcoming
datasets/Set_I_DEV/review-001.txt,186,191,neat 
datasets/Set_I_DEV/review-001.txt,191,204,and welcoming
datasets/Set_I_DEV/review-002.txt,597,613,with its sawdust
datasets/Set_I_DEV/review-002.txt,597,602,with 
datasets/Set_I_DEV/review-002.txt,602,613,its sawdust
datasets/Set_I_DEV/review-002.txt,3535,3549,Who needs blue
datasets/Set_I_DEV/review-002.txt,3535,3539,Who 
datasets/Set_I_DEV/review-002.txt,3539,3549,needs blue
datasets/Set_I_DEV/review-002.txt,864,882,came the following
datasets/Set_I_DEV/review-002.txt,773,778,came 
datasets/Set_I_DEV/review-002.txt,869,882,the following
datasets/Set_I_DEV/review-002.txt,6030,6050,with your tablemates
datasets/Set_I_DEV/review-002.txt,597,602,with 
datasets/Set_I_DEV/review-002.txt,6035,6050,your tablemates
datasets/Set_I_DEV/review-002.txt,2534,2553,the publisher Jason
datasets/Set_I_DEV/review-002.txt,176,180,the 
datasets/Set_I_DEV/review-002.txt,2538,2553,publisher Jason
datasets/Set_I_DEV/review-002.txt,1054,1066,Palm is many
datasets/Set_I_DEV/review-002.txt,89,94,Palm 
datasets/Set_I_DEV/review-002.txt,1059,1066,is many
datasets/Set_I_DEV/review-002.txt,2234,2249,than it appears
datasets/Set_I_DEV/review-002.txt,2234,2239,than 
datasets/Set_I_DEV/review-002.txt,2239,2249,it appears
datasets/Set_I_DEV/review-002.txt,4111,4125,of baked clams
datasets/Set_I_DEV/review-002.txt,186,189,of 
datasets/Set_I_DEV/review-002.txt,4114,4125,baked clams
datasets/Set_I_DEV/review-003.txt,3517,3527,with a few
datasets/Set_I_DEV/review-003.txt,255,260,with 
datasets/Set_I_DEV/review-003.txt,3522,3527,a few
datasets/Set_I_DEV/review-003.txt,798,813,at a precarious
datasets/Set_I_DEV/review-003.txt,184,187,at 
datasets/Set_I_DEV/review-003.txt,801,813,a precarious
datasets/Set_I_DEV/review-003.txt,4058,4072,The feeling is
datasets/Set_I_DEV/review-003.txt,4058,4062,The 
datasets/Set_I_DEV/review-003.txt,4062,4072,feeling is
datasets/Set_I_DEV/review-003.txt,3767,3785,oversweet save for
datasets/Set_I_DEV/review-003.txt,3767,3777,oversweet 
datasets/Set_I_DEV/review-003.txt,3777,3785,save for
datasets/Set_I_DEV/review-003.txt,1901,1921,volumized by coconut
datasets/Set_I_DEV/review-003.txt,1901,1911,volumized 
datasets/Set_I_DEV/review-003.txt,1911,1921,by coconut
datasets/Set_I_DEV/review-003.txt,2072,2091,freer to experiment
datasets/Set_I_DEV/review-003.txt,2072,2078,freer 
datasets/Set_I_DEV/review-003.txt,2078,2091,to experiment
datasets/Set_I_DEV/review-003.txt,3619,3637,that suggest Pyrex
datasets/Set_I_DEV/review-003.txt,387,392,that 
datasets/Set_I_DEV/review-003.txt,3624,3637,suggest Pyrex
datasets/Set_I_DEV/review-003.txt,3729,3751,thankfully with straws
datasets/Set_I_DEV/review-003.txt,3729,3740,thankfully 
datasets/Set_I_DEV/review-003.txt,3740,3751,with straws
datasets/Set_I_DEV/review-004.txt,2424,2437,take the roof
datasets/Set_I_DEV/review-004.txt,2424,2429,take 
datasets/Set_I_DEV/review-004.txt,2429,2437,the roof
datasets/Set_I_DEV/review-004.txt,972,991,mighty Thai flavors
datasets/Set_I_DEV/review-004.txt,972,979,mighty 
datasets/Set_I_DEV/review-004.txt,979,991,Thai flavors
datasets/Set_I_DEV/review-004.txt,303,319,the East Village
datasets/Set_I_DEV/review-004.txt,99,103,the 
datasets/Set_I_DEV/review-004.txt,307,319,East Village
datasets/Set_I_DEV/review-004.txt,434,443,it is not
datasets/Set_I_DEV/review-004.txt,355,358,it 
datasets/Set_I_DEV/review-004.txt,61,67,is not
datasets/Set_I_DEV/review-004.txt,1771,1792,and accommodates them
datasets/Set_I_DEV/review-004.txt,550,554,and 
datasets/Set_I_DEV/review-004.txt,1775,1792,accommodates them
datasets/Set_I_DEV/review-004.txt,1222,1242,The garagelike space
datasets/Set_I_DEV/review-004.txt,747,751,The 
datasets/Set_I_DEV/review-004.txt,1226,1242,garagelike space
datasets/Set_I_DEV/review-004.txt,1141,1152,in New York
datasets/Set_I_DEV/review-004.txt,300,303,in 
datasets/Set_I_DEV/review-004.txt,1144,1152,New York
datasets/Set_I_DEV/review-004.txt,3661,3671,This is my
datasets/Set_I_DEV/review-004.txt,3661,3666,This 
datasets/Set_I_DEV/review-004.txt,3666,3671,is my
datasets/Set_I_DEV/review-005.txt,6767,6785,serve swirled with
datasets/Set_I_DEV/review-005.txt,6767,6773,serve 
datasets/Set_I_DEV/review-005.txt,6773,6785,swirled with
datasets/Set_I_DEV/review-005.txt,3873,3896,temperature and texture
datasets/Set_I_DEV/review-005.txt,3873,3885,temperature 
datasets/Set_I_DEV/review-005.txt,3885,3896,and texture
datasets/Set_I_DEV/review-005.txt,280,301,battered Coney Island
datasets/Set_I_DEV/review-005.txt,280,289,battered 
datasets/Set_I_DEV/review-005.txt,289,301,Coney Island
datasets/Set_I_DEV/review-005.txt,2867,2884,about how cooking
datasets/Set_I_DEV/review-005.txt,608,614,about 
datasets/Set_I_DEV/review-005.txt,2873,2884,how cooking
datasets/Set_I_DEV/review-005.txt,4736,4749,blend of aged
datasets/Set_I_DEV/review-005.txt,4736,4742,blend 
datasets/Set_I_DEV/review-005.txt,4742,4749,of aged
datasets/Set_I_DEV/review-005.txt,6786,6802,broken pieces of
datasets/Set_I_DEV/review-005.txt,6786,6793,broken 
datasets/Set_I_DEV/review-005.txt,6793,6802,pieces of
datasets/Set_I_DEV/review-005.txt,6491,6504,a purveyor of
datasets/Set_I_DEV/review-005.txt,170,172,a 
datasets/Set_I_DEV/review-005.txt,6493,6504,purveyor of
datasets/Set_I_DEV/review-005.txt,6891,6915,somewhere between creamy
datasets/Set_I_DEV/review-005.txt,6891,6901,somewhere 
datasets/Set_I_DEV/review-005.txt,6901,6915,between creamy
datasets/Set_I_DEV/review-006.txt,4202,4215,know that the
datasets/Set_I_DEV/review-006.txt,4202,4207,know 
datasets/Set_I_DEV/review-006.txt,4207,4215,that the
datasets/Set_I_DEV/review-006.txt,770,782,omakase at a
datasets/Set_I_DEV/review-006.txt,770,778,omakase 
datasets/Set_I_DEV/review-006.txt,778,782,at a
datasets/Set_I_DEV/review-006.txt,1705,1715,and a lone
datasets/Set_I_DEV/review-006.txt,255,259,and 
datasets/Set_I_DEV/review-006.txt,1709,1715,a lone
datasets/Set_I_DEV/review-006.txt,1777,1788,There is no
datasets/Set_I_DEV/review-006.txt,1777,1783,There 
datasets/Set_I_DEV/review-006.txt,736,741,is no
datasets/Set_I_DEV/review-006.txt,2772,2786,a tiger shrimp
datasets/Set_I_DEV/review-006.txt,233,235,a 
datasets/Set_I_DEV/review-006.txt,2774,2786,tiger shrimp
