file name,start offset,end offset,negative sample
./datasets/Set_I_DEV/review-030.txt,2132,2143,and a touch
./datasets/Set_I_DEV/review-030.txt,7,11,and 
./datasets/Set_I_DEV/review-030.txt,2136,2143,a touch
./datasets/Set_I_DEV/review-030.txt,96,112,and humidity can
./datasets/Set_I_DEV/review-030.txt,7,11,and 
./datasets/Set_I_DEV/review-030.txt,100,112,humidity can
./datasets/Set_I_DEV/review-030.txt,2024,2038,peppers on the
./datasets/Set_I_DEV/review-030.txt,2024,2032,peppers 
./datasets/Set_I_DEV/review-030.txt,1504,1510,on the
./datasets/Set_I_DEV/review-030.txt,348,367,in through oversize
./datasets/Set_I_DEV/review-030.txt,220,223,in 
./datasets/Set_I_DEV/review-030.txt,351,367,through oversize
./datasets/Set_I_DEV/review-030.txt,1898,1912,rums and cacha
./datasets/Set_I_DEV/review-030.txt,1898,1903,rums 
./datasets/Set_I_DEV/review-030.txt,1903,1912,and cacha
./datasets/Set_I_DEV/review-030.txt,609,620,is also the
./datasets/Set_I_DEV/review-030.txt,609,612,is 
./datasets/Set_I_DEV/review-030.txt,612,620,also the
./datasets/Set_I_DEV/review-030.txt,2236,2247,it has gone
./datasets/Set_I_DEV/review-030.txt,1428,1431,it 
./datasets/Set_I_DEV/review-030.txt,2239,2247,has gone
./datasets/Set_I_DEV/review-030.txt,1860,1884,cocktails and impressive
./datasets/Set_I_DEV/review-030.txt,1860,1870,cocktails 
./datasets/Set_I_DEV/review-030.txt,1870,1884,and impressive
./datasets/Set_I_DEV/review-031.txt,494,509,and intense Edi
./datasets/Set_I_DEV/review-031.txt,494,498,and 
./datasets/Set_I_DEV/review-031.txt,498,509,intense Edi
./datasets/Set_I_DEV/review-031.txt,84,100,best when pushed
./datasets/Set_I_DEV/review-031.txt,84,89,best 
./datasets/Set_I_DEV/review-031.txt,89,100,when pushed
./datasets/Set_I_DEV/review-031.txt,653,673,his business partner
./datasets/Set_I_DEV/review-031.txt,578,582,his 
./datasets/Set_I_DEV/review-031.txt,657,673,business partner
./datasets/Set_I_DEV/review-031.txt,1661,1673,a bouquet of
./datasets/Set_I_DEV/review-031.txt,61,63,a 
./datasets/Set_I_DEV/review-031.txt,1663,1673,bouquet of
./datasets/Set_I_DEV/review-031.txt,722,733,and run the
./datasets/Set_I_DEV/review-031.txt,494,498,and 
./datasets/Set_I_DEV/review-031.txt,726,733,run the
./datasets/Set_I_DEV/review-031.txt,1684,1692,a can of
./datasets/Set_I_DEV/review-031.txt,61,63,a 
./datasets/Set_I_DEV/review-031.txt,1686,1692,can of
./datasets/Set_I_DEV/review-031.txt,1589,1604,to metal grates
./datasets/Set_I_DEV/review-031.txt,101,104,to 
./datasets/Set_I_DEV/review-031.txt,1592,1604,metal grates
./datasets/Set_I_DEV/review-031.txt,74,83,is at its
./datasets/Set_I_DEV/review-031.txt,74,77,is 
./datasets/Set_I_DEV/review-031.txt,77,83,at its
./datasets/Set_I_DEV/review-032.txt,1252,1270,Here their cooking
./datasets/Set_I_DEV/review-032.txt,1252,1257,Here 
./datasets/Set_I_DEV/review-032.txt,1257,1270,their cooking
./datasets/Set_I_DEV/review-032.txt,491,505,It tasted like
./datasets/Set_I_DEV/review-032.txt,362,365,It 
./datasets/Set_I_DEV/review-032.txt,494,505,tasted like
./datasets/Set_I_DEV/review-032.txt,570,582,like that of
./datasets/Set_I_DEV/review-032.txt,501,506,like 
./datasets/Set_I_DEV/review-032.txt,575,582,that of
./datasets/Set_I_DEV/review-032.txt,626,640,it reminded me
./datasets/Set_I_DEV/review-032.txt,626,629,it 
./datasets/Set_I_DEV/review-032.txt,629,640,reminded me
./datasets/Set_I_DEV/review-032.txt,2437,2454,Perhaps purity is
./datasets/Set_I_DEV/review-032.txt,2437,2445,Perhaps 
./datasets/Set_I_DEV/review-032.txt,2445,2454,purity is
./datasets/Set_I_DEV/review-032.txt,1327,1353,classical Japanese cuisine
./datasets/Set_I_DEV/review-032.txt,1327,1337,classical 
./datasets/Set_I_DEV/review-032.txt,1337,1353,Japanese cuisine
./datasets/Set_I_DEV/review-032.txt,320,342,exactingly cut slivers
./datasets/Set_I_DEV/review-032.txt,320,331,exactingly 
./datasets/Set_I_DEV/review-032.txt,331,342,cut slivers
./datasets/Set_I_DEV/review-032.txt,608,624,the tomato jelly
./datasets/Set_I_DEV/review-032.txt,200,204,the 
./datasets/Set_I_DEV/review-032.txt,297,309,tomato jelly
